Locus,Mean_Length,Num_Inds,Num_Groups,40i_loci.txt,62i_loci.txt,98i_loci.txt,g2_loci.txt,g4_loci.txt,g7_loci.txt,Calandrinia,Calandrinia1,Calandrinia2,Calandrinia3,Calandrinia4,Calandrinia5,Calandrinia6,Molluginaceae,Monteae,Montiaceae,NWCalandrinia,Outgroup,Phemeranthus,Portulacineae
betaCA_1_4_1_1_1_2_5,262.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
betaCA_1_4_1_1_1_2_7,255.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
betaCA_1_4_1_2,275.16,95,12,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
betaCA_1_4_1_2_2,156.00,1,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
dic_1112_1_1,563.08,108,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
dic_1112_1_1_1_1,652.40,99,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
dic_1112_1_1_1_1_1_2,458.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
dic_1112_1_1_1_1_1_3,666.50,4,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
dic_1112_1_1_1_1_2,717.75,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
dic_1112_1_1_1_1_4,578.67,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
dic_1112_1_1_1_2,457.44,101,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
dic_1112_1_1_1_2_1,457.06,88,12,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes
dic_1112_1_1_1_2_1_1_1,351.00,4,3,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no
dic_1112_1_1_1_2_1_1_1_2,720.67,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
dic_1112_1_1_1_2_1_1_2,545.62,64,9,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no
dic_1112_1_1_1_2_1_1_2_1,494.15,34,6,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no
dic_1112_1_1_1_2_1_1_2_1_1,298.00,3,2,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no
dic_1112_1_1_1_2_1_1_2_1_2_2,361.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
dic_1112_1_1_1_2_1_1_2_1_2_3_1,704.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
dic_1112_1_1_1_2_1_1_2_1_2_3_2,394.50,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
dic_1112_1_1_1_2_1_1_2_1_4,344.00,1,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
dic_1112_1_1_1_2_1_2_1,561.75,4,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
dic_1112_1_1_1_2_2_2,606.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
dic_2_10,398.67,3,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
dic_2_2,691.04,74,14,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
dic_2_3,736.44,43,11,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes
dic_2_5,796.67,15,7,no,no,no,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,no
dic_2_8,447.40,5,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
dit1_1,636.68,59,12,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
dit1_1_1,611.83,6,4,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes
dit1_1_2_1_1,863.42,12,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
dit1_1_2_1_1_1_2,602.33,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
dit1_1_2_1_1_2,817.33,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
dit1_1_2_1_2,721.90,20,4,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no
dit1_1_2_1_2_2,569.67,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
dit1_1_2_2_2,667.00,2,1,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
dit1_1_2_2_3,638.00,3,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
dit1_2,607.01,92,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
dit1_3,660.80,5,2,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
dit1_6,709.50,2,1,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
dit2_1,572.90,31,12,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes
dit2_1_1,479.00,7,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes
dit2_1_2_2,258.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
dit2_2,615.13,92,14,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
dit2_4,812.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
dit2_5_1_1,518.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
dit2_5_1_2,751.50,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
dit2_5_2,604.67,3,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
dit2_8,636.00,3,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
dit2_9,754.00,3,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
nGroup_10776_1,1890.68,74,11,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes
nGroup_10776_1_1_1_1,1384.40,5,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no
nGroup_10776_1_1_1_2_1,1911.67,21,4,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no
nGroup_10776_1_1_1_2_1_1,1995.67,6,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_10776_1_1_1_2_2_2,1059.25,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_10776_1_1_1_2_2_4,826.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
nGroup_10776_1_1_1_2_2_6,1647.00,2,2,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
nGroup_10776_1_1_1_2_2_8,1189.12,17,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
nGroup_10776_1_1_1_2_2_8_2,1972.00,1,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
nGroup_10776_1_1_2,1246.86,7,3,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes
nGroup_10776_1_2,1810.37,68,10,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes
nGroup_10776_1_2_1_1_1,1202.67,3,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
nGroup_10776_1_2_1_1_2,2221.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_10776_1_2_1_2_2,156.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_10776_1_2_2,1360.47,38,8,no,no,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no
nGroup_10776_1_2_2_2,155.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_10776_1_2_2_4,1512.00,1,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
nGroup_10860_1,760.20,5,2,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no
nGroup_10860_2,826.51,102,13,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
nGroup_10951_1_1,1262.25,8,4,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes
nGroup_10951_1_1_1,916.00,2,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes
nGroup_10951_1_2,1011.69,78,13,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
nGroup_10951_1_2_1_1_1_1_1,1354.75,4,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no
nGroup_10951_1_2_1_1_1_1_2,1301.33,3,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
nGroup_10951_1_2_1_1_1_2,468.88,8,4,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no
nGroup_10951_1_2_1_1_2,1119.88,41,9,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no
nGroup_10951_1_2_1_1_2_2,1679.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_10951_1_2_1_1_2_3,236.25,4,4,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no
nGroup_10951_1_2_1_2,1163.17,58,11,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no
nGroup_10951_1_2_1_2_1,385.43,7,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
nGroup_10951_1_2_2_2,972.60,5,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_10951_1_2_2_4,287.00,2,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
nGroup_10951_1_2_2_6,922.50,2,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
nGroup_10951_1_2_4,1856.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
nGroup_11253_1,1433.14,97,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_11253_1_1,1355.07,68,13,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
nGroup_11253_1_1_1_1_1,746.17,6,4,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,yes
nGroup_11253_1_1_1_1_1_2,482.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
nGroup_11253_1_1_1_1_2,1406.42,48,6,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,yes
nGroup_11253_1_1_1_1_2_1_1_1_1_1,1276.00,2,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
nGroup_11253_1_1_1_1_2_1_1_1_1_2_1,1343.25,4,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no
nGroup_11253_1_1_1_1_2_1_1_1_1_2_2,1714.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_11253_1_1_1_1_2_1_1_1_2,1146.83,6,4,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no
nGroup_11253_1_1_1_1_2_1_1_2,1346.20,5,3,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no
nGroup_11253_1_1_1_1_2_1_2_1_1_2,1837.62,8,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_11253_1_1_1_1_2_1_2_1_2,1047.33,6,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_11253_1_1_1_1_2_1_2_2,1114.00,6,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_11253_1_1_1_1_2_1_2_3_1_1,1882.40,5,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_11253_1_1_1_1_2_1_2_3_1_2,1992.60,5,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_11253_1_1_1_1_2_1_2_3_2,250.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_11253_1_1_1_1_2_1_2_4_2,1393.00,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_11253_1_1_1_1_2_2,1370.36,22,5,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,no
nGroup_11253_1_1_1_2,1322.57,56,12,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes
nGroup_11253_1_1_1_2_1,1043.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
nGroup_11253_1_1_1_2_3_1,1256.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
nGroup_11253_1_1_1_2_4,739.33,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
nGroup_11253_1_1_2_1_2,1011.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
nGroup_11253_1_1_2_2,497.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
nGroup_11253_1_1_2_4,1317.00,5,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_11253_1_2_1,508.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_11253_1_2_4,1961.00,2,1,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
nGroup_11253_1_2_6,751.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_11253_2,1373.72,107,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_1213_1,911.50,2,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes
nGroup_1213_2,1146.92,87,14,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_1213_3,937.03,39,4,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no
nGroup_1213_6,639.33,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_12443_1,601.50,4,3,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes
nGroup_12443_2,795.16,106,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_12443_4,1068.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_12443_6,626.50,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
nGroup_13658_1_1,437.50,2,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes
nGroup_13658_1_2,605.00,70,12,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes
nGroup_13658_1_2_1_1_1_1,486.50,2,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
nGroup_13658_1_2_1_1_1_2,389.12,16,7,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no
nGroup_13658_1_2_1_1_1_2_2,992.25,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_13658_1_2_1_1_2,757.25,4,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
nGroup_13658_1_2_1_2,603.44,34,10,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no
nGroup_13658_1_2_1_2_1,327.69,13,5,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,no
nGroup_13658_1_2_1_2_1_2,196.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_13658_1_2_1_2_2_1_1_1,597.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_13658_1_2_1_2_2_1_1_2_1_1_1,402.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_13658_1_2_1_2_2_1_1_2_1_1_2,470.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_13658_1_2_1_2_2_1_1_2_1_2,601.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_13658_1_2_1_2_2_1_1_2_2,500.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_13658_1_2_1_2_2_2,687.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_13658_1_2_1_2_2_4,544.33,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_13658_1_2_1_2_2_6,358.00,1,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
nGroup_13658_1_2_2_2,410.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_13658_1_2_2_4,779.50,2,2,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
nGroup_13658_1_2_2_6,355.00,2,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
nGroup_13658_2,693.37,99,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_13658_3,1019.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_13658_6,862.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_15299_1,388.75,32,7,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes
nGroup_15299_11,283.50,2,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
nGroup_15299_12,328.86,7,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
nGroup_15299_1_1,284.31,13,4,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,yes
nGroup_15299_1_1_2,251.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_15299_1_2_1_1_1,388.17,6,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_15299_1_2_1_1_1_1_1_1_2,390.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_15299_1_2_1_1_1_1_1_2,328.33,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_15299_1_2_1_1_1_1_2,314.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_15299_1_2_1_1_1_2,284.67,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_15299_1_2_1_1_2,276.00,7,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_15299_1_2_2,301.12,8,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_15299_1_2_3_2,443.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_15299_1_2_4,286.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_15299_2,327.68,78,14,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_15299_5,328.00,2,1,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
nGroup_15311_1_1,390.50,4,3,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes
nGroup_15311_1_2,526.74,62,11,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes
nGroup_15311_1_2_1_1_1_1,618.52,23,9,no,no,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no
nGroup_15311_1_2_1_1_1_1_2,503.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_15311_1_2_1_1_1_1_4,431.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_15311_1_2_1_1_1_2,301.18,11,4,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no
nGroup_15311_1_2_1_1_2,455.75,12,4,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no
nGroup_15311_1_2_1_1_2_1,652.40,5,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_15311_1_2_1_1_2_1_1_1_2,262.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_15311_1_2_1_1_2_1_1_2,816.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_15311_1_2_1_1_2_1_2,903.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_15311_1_2_1_2,598.02,43,10,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no
nGroup_15311_1_2_1_2_2,382.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_15311_1_2_2_1_1_1_1,421.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_15311_1_2_2_1_1_1_2,371.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_15311_1_2_2_1_2,813.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_15311_1_2_2_2,594.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_15311_1_2_2_3,1782.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_15311_1_2_2_5,418.33,3,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_15311_1_2_2_6_2,619.33,6,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_15311_2,490.38,86,14,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_1537_1,347.39,18,6,no,no,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no
nGroup_1537_1_2,506.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_1537_1_4,448.33,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_1537_2,628.67,104,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_1537_5,459.18,50,9,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no
nGroup_1537_7,476.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
nGroup_16142_1,2075.50,2,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes
nGroup_16142_10,679.81,16,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
nGroup_16142_14,321.67,3,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_16142_15,741.80,5,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_16142_18,544.33,3,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
nGroup_16142_2,1417.89,70,12,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
nGroup_16142_4,1253.15,13,6,no,no,no,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,no
nGroup_16142_7,1156.94,47,9,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no
nGroup_16142_8,1538.00,5,3,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no
nGroup_16157_1,290.30,93,13,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
nGroup_16157_1_1,490.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_16157_1_2_1_1,163.75,4,3,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no
